reading_id,shipment_id,cargo_type,temperature_c,humidity_pct,ethylene_ppm,vibration_g,transit_duration_hours,excursion_duration_mins,spoilage_risk_score,status
READ-1000,CG-10490,Milk,4.2,68.5,1.2,0.45,12.5,0,8.2,HEALTHY
READ-1001,CG-10490,Milk,4.5,69.0,1.3,0.42,13.0,0,8.8,HEALTHY
READ-1002,CG-10490,Milk,4.8,70.2,1.4,0.48,13.5,0,9.5,HEALTHY
READ-1003,CG-10490,Milk,5.2,71.0,1.6,0.52,14.0,0,11.2,HEALTHY
READ-1004,CG-10490,Milk,5.8,72.5,1.8,0.50,14.5,0,14.0,HEALTHY
READ-1005,CG-10490,Milk,6.4,74.0,2.1,0.58,15.0,10,38.5,AT_RISK
READ-1006,CG-10490,Milk,7.1,75.8,2.5,0.62,15.5,25,48.2,AT_RISK
READ-1007,CG-10490,Milk,8.2,77.2,3.1,0.68,16.0,40,59.0,AT_RISK
READ-1008,CG-10490,Milk,9.5,79.0,4.2,0.75,16.5,55,72.4,CRITICAL
READ-1009,CG-10490,Milk,11.2,81.5,5.8,0.82,17.0,70,84.1,CRITICAL
READ-1010,CG-10490,Milk,12.8,83.0,7.2,0.91,17.5,85,91.8,CRITICAL
READ-1011,CG-10490,Milk,13.5,84.2,8.1,0.95,18.0,100,95.2,CRITICAL
READ-1012,CG-10490,Milk,14.2,85.0,9.0,1.05,18.5,115,98.0,CRITICAL
READ-1013,CG-10490,Milk,10.1,80.0,7.8,0.88,19.0,130,88.4,CRITICAL
READ-1014,CG-10490,Milk,6.8,75.0,6.2,0.70,19.5,145,52.0,AT_RISK
READ-1015,CG-10490,Milk,4.1,69.2,4.8,0.44,20.0,145,18.2,HEALTHY
READ-1016,CG-10490,Milk,3.8,68.0,3.9,0.39,20.5,145,12.5,HEALTHY
READ-1017,CG-10490,Milk,3.9,68.2,3.2,0.41,21.0,145,11.0,HEALTHY
READ-1018,CG-10490,Milk,4.0,68.8,2.8,0.40,21.5,145,10.2,HEALTHY
READ-1019,CG-10490,Milk,4.2,69.0,2.4,0.43,22.0,145,9.8,HEALTHY
READ-1020,CG-10402,Milk,3.5,67.0,1.0,0.35,4.0,0,6.5,HEALTHY
READ-1021,CG-10402,Milk,3.7,67.5,1.1,0.38,4.5,0,7.0,HEALTHY
READ-1022,CG-10402,Milk,3.9,68.1,1.1,0.36,5.0,0,7.4,HEALTHY
READ-1023,CG-10402,Milk,4.1,68.9,1.2,0.40,5.5,0,8.0,HEALTHY
READ-1024,CG-10402,Milk,4.3,69.4,1.3,0.41,6.0,0,8.5,HEALTHY
READ-1025,CG-10402,Milk,4.5,70.0,1.4,0.43,6.5,0,9.1,HEALTHY
READ-1026,CG-10402,Milk,4.6,70.5,1.5,0.45,7.0,0,9.8,HEALTHY
READ-1027,CG-10402,Milk,4.8,71.2,1.6,0.47,7.5,0,10.4,HEALTHY
READ-1028,CG-10402,Milk,5.1,72.0,1.7,0.49,8.0,0,12.0,HEALTHY
READ-1029,CG-10402,Milk,5.5,72.8,1.9,0.51,8.5,0,13.5,HEALTHY
READ-1030,CG-10402,Milk,6.2,74.2,2.2,0.56,9.0,5,32.0,AT_RISK
READ-1031,CG-10402,Milk,6.8,75.5,2.6,0.60,9.5,20,44.5,AT_RISK
READ-1032,CG-10402,Milk,7.5,77.0,3.0,0.65,10.0,35,55.8,AT_RISK
READ-1033,CG-10402,Milk,8.8,79.2,3.8,0.72,10.5,50,69.4,AT_RISK
READ-1034,CG-10402,Milk,10.5,81.0,4.9,0.80,11.0,65,81.2,CRITICAL
READ-1035,CG-10402,Milk,11.8,82.8,6.1,0.89,11.5,80,89.5,CRITICAL
READ-1036,CG-10402,Milk,12.5,84.0,7.0,0.95,12.0,95,93.4,CRITICAL
READ-1037,CG-10402,Milk,13.2,85.2,8.2,1.02,12.5,110,96.8,CRITICAL
READ-1038,CG-10402,Milk,14.0,86.0,9.1,1.10,13.0,125,99.0,CRITICAL
READ-1039,CG-10402,Milk,14.5,87.1,9.8,1.15,13.5,140,99.8,CRITICAL
READ-1040,CG-10433,Milk,3.2,66.5,0.9,0.32,2.0,0,5.8,HEALTHY
READ-1041,CG-10433,Milk,3.4,67.0,1.0,0.34,2.5,0,6.2,HEALTHY
READ-1042,CG-10433,Milk,3.6,67.8,1.0,0.35,3.0,0,6.8,HEALTHY
READ-1043,CG-10433,Milk,3.8,68.2,1.1,0.37,3.5,0,7.2,HEALTHY
READ-1044,CG-10433,Milk,4.0,68.9,1.2,0.39,4.0,0,7.8,HEALTHY
READ-1045,CG-10433,Milk,4.1,69.2,1.2,0.40,4.5,0,8.1,HEALTHY
READ-1046,CG-10433,Milk,4.3,69.8,1.3,0.42,5.0,0,8.6,HEALTHY
READ-1047,CG-10433,Milk,4.5,70.3,1.4,0.44,5.5,0,9.2,HEALTHY
READ-1048,CG-10433,Milk,4.7,71.0,1.5,0.46,6.0,0,9.9,HEALTHY
READ-1049,CG-10433,Milk,5.0,71.8,1.6,0.48,6.5,0,11.5,HEALTHY
READ-1050,CG-10433,Milk,5.3,72.4,1.8,0.50,7.0,0,13.2,HEALTHY
READ-1051,CG-10433,Milk,5.7,73.1,2.0,0.53,7.5,0,15.0,HEALTHY
READ-1052,CG-10433,Milk,6.1,74.0,2.2,0.55,8.0,5,30.5,AT_RISK
READ-1053,CG-10433,Milk,6.5,75.2,2.5,0.58,8.5,15,40.0,AT_RISK
READ-1054,CG-10433,Milk,7.2,76.8,2.9,0.63,9.0,30,52.4,AT_RISK
READ-1055,CG-10433,Milk,8.1,78.5,3.5,0.70,9.5,45,64.8,AT_RISK
READ-1056,CG-10433,Milk,9.2,80.1,4.2,0.78,10.0,60,76.0,CRITICAL
